root_path,repo_path,root_sha256,repo_sha256,status,disposition,reason
./00_sandbox/TOOLCHAIN.md,gru953-brand/brand-kit/00_sandbox/TOOLCHAIN.md,b5936a863855603eeca0ee69ffc7ff7496ff353f55b2289ea14c9008369e5264,b5936a863855603eeca0ee69ffc7ff7496ff353f55b2289ea14c9008369e5264,IDENTICAL,,
./00_sandbox/_ds.mjs,gru953-brand/brand-kit/00_sandbox/_ds.mjs,155eae42227fd156f3d07b3a65af6cdceab17ae3c617f640403f204613968120,(missing in repo),ROOT_ONLY,attic,Dead scratch script hardcoding /home/claude/GRU953_Build/design-system; unreachable from any build.
./00_sandbox/_hero.mjs,gru953-brand/brand-kit/00_sandbox/_hero.mjs,369d0ce2032a68af2db171e9e7fe60e17e20ca76ea0a368258206c5c31c6ef20,(missing in repo),ROOT_ONLY,attic,Dead scratch script hardcoding /home/claude/GRU953_Build/design-system; unreachable from any build.
./00_sandbox/_hero2.mjs,gru953-brand/brand-kit/00_sandbox/_hero2.mjs,2899ef22f6b22e87b287e148dbe464c4d37b84c2b25de2bba768f74abf007929,(missing in repo),ROOT_ONLY,attic,Dead scratch script hardcoding /home/claude/GRU953_Build/design-system; unreachable from any build.
./00_sandbox/_hero3.mjs,gru953-brand/brand-kit/00_sandbox/_hero3.mjs,7836136aa364393ed54c0a8978b10a4ff19ace4c4842c86b78c1faff649605bc,(missing in repo),ROOT_ONLY,attic,Dead scratch script hardcoding /home/claude/GRU953_Build/design-system; unreachable from any build.
./00_sandbox/_hero4.mjs,gru953-brand/brand-kit/00_sandbox/_hero4.mjs,c07226585a4be5e05252e6d19824eeb27174a2b8a3a30289df5cace40c96d48d,(missing in repo),ROOT_ONLY,attic,Dead scratch script hardcoding /home/claude/GRU953_Build/design-system; unreachable from any build.
./00_sandbox/_shot2.mjs,gru953-brand/brand-kit/00_sandbox/_shot2.mjs,b44fb486bd364bbf07627e0b18f013a3204f21a7a521b9a2d8dfdfa1b35220be,(missing in repo),ROOT_ONLY,attic,Dead scratch script hardcoding /home/claude/GRU953_Build/design-system; unreachable from any build.
./00_sandbox/check.mjs,gru953-brand/brand-kit/00_sandbox/check.mjs,3134b174004524e0cc94af08f11c29bf8c9490db0012033c6ab4a729d3617c35,3134b174004524e0cc94af08f11c29bf8c9490db0012033c6ab4a729d3617c35,IDENTICAL,,
./00_sandbox/package-lock.json,gru953-brand/brand-kit/00_sandbox/package-lock.json,8ef622a1f1d5a6f8944059c3fed099e52269021cb562b2dd54aa9d5a82b01a64,8ef622a1f1d5a6f8944059c3fed099e52269021cb562b2dd54aa9d5a82b01a64,IDENTICAL,,
./00_sandbox/package.json,gru953-brand/brand-kit/00_sandbox/package.json,616c3f9147abd32b7fd393e8c74acd497949537fe5c2809316c0f9b4c840648b,616c3f9147abd32b7fd393e8c74acd497949537fe5c2809316c0f9b4c840648b,IDENTICAL,,
./00_sandbox/pdf.mjs,gru953-brand/brand-kit/00_sandbox/pdf.mjs,e641b1dfe9a011540eade9628ea0eb0456e2f4f004e586d9bb98d873e2301a3e,e641b1dfe9a011540eade9628ea0eb0456e2f4f004e586d9bb98d873e2301a3e,IDENTICAL,,
./00_sandbox/render.mjs,gru953-brand/brand-kit/00_sandbox/render.mjs,5e6f05e3e24c9130b3e2771935b24b263c9449b063743cf5eace15c4e7a9fc60,5e6f05e3e24c9130b3e2771935b24b263c9449b063743cf5eace15c4e7a9fc60,IDENTICAL,,
./00_sandbox/svgo.config.mjs,gru953-brand/brand-kit/00_sandbox/svgo.config.mjs,019284c244915ef479e0956dd7f075db9341768e36d6a91c587f765b864db496,019284c244915ef479e0956dd7f075db9341768e36d6a91c587f765b864db496,IDENTICAL,,
./00_sandbox/verify.py,gru953-brand/brand-kit/00_sandbox/verify.py,8d82a99938075963008e99fc7f0b216c640e2fe68efcef586d26c732dde7fd38,b8e426305e3610c55948c51b8267ec10d36f3a8411c7e0793b9de0fc778f6366,DIFFERS,REPO_WINS,"Repo checks source-fonts/ (the 5 shipping families); root checks candidates/, a path that no longer exists. Repo also downgrades a missing Brotli decoder to 'could not run' instead of 'font is broken'."
./01_research/RESEARCH.md,gru953-brand/brand-kit/01_research/RESEARCH.md,8f992cee361904a754f9e7154cc7e7e154fe2f3f44493ae832f8417c022f46e1,8f992cee361904a754f9e7154cc7e7e154fe2f3f44493ae832f8417c022f46e1,IDENTICAL,,
./02_strategy/BRAND-SPEC.md,gru953-brand/brand-kit/02_strategy/BRAND-SPEC.md,250a0488afb727465a6c88c97be1ae0dcb3e36e707d3be1322aeadda805ae9f3,250a0488afb727465a6c88c97be1ae0dcb3e36e707d3be1322aeadda805ae9f3,IDENTICAL,,
./02_strategy/DESIGN-RULES.md,gru953-brand/brand-kit/02_strategy/DESIGN-RULES.md,0559127dcc8e5c1c2adb7eabd4f7efbe3ce982077aafa9ecda1508294208bab0,0559127dcc8e5c1c2adb7eabd4f7efbe3ce982077aafa9ecda1508294208bab0,IDENTICAL,,
./02_strategy/VERBAL-IDENTITY-BN.md,gru953-brand/brand-kit/02_strategy/VERBAL-IDENTITY-BN.md,d21499180f94ecfd38dbea8b5290b543b509d3b78ed7eadfe6c29b145eee93d6,d21499180f94ecfd38dbea8b5290b543b509d3b78ed7eadfe6c29b145eee93d6,IDENTICAL,,
./02_strategy/VERBAL-IDENTITY.md,gru953-brand/brand-kit/02_strategy/VERBAL-IDENTITY.md,181bd9b4fdaba6a18ec21bc73c68252d38d7aca0dae7adaf0d98e76ec6ce4037,181bd9b4fdaba6a18ec21bc73c68252d38d7aca0dae7adaf0d98e76ec6ce4037,IDENTICAL,,
./03_logo/GRU953-appicon.svg,gru953-brand/brand-kit/03_logo/GRU953-appicon.svg,af454e37fdd636f4220638aff8dd6a865d0c0eba7cae78bdd4b0861c42509b5a,af454e37fdd636f4220638aff8dd6a865d0c0eba7cae78bdd4b0861c42509b5a,IDENTICAL,,
./03_logo/GRU953-bird.svg,gru953-brand/brand-kit/03_logo/GRU953-bird.svg,5124409c23a8c31f2a6e67741023d762b5658f548b1569d45a1f8d75d2bd5374,5124409c23a8c31f2a6e67741023d762b5658f548b1569d45a1f8d75d2bd5374,IDENTICAL,,
